bed_id,ward_name,room_number,bed_type,availability_status
156,Emergency,350,ICU,Available
157,Emergency,113,General,Occupied
158,Pediatric Ward,386,Semi-Private,Available
159,Emergency,415,General,Available
160,General Ward,191,ICU,Available
161,Emergency,430,Semi-Private,Occupied
162,ICU,288,General,Occupied
163,Maternity Ward,241,Private,Available
164,Pediatric Ward,146,Semi-Private,Occupied
165,Pediatric Ward,163,ICU,Occupied
166,Emergency,385,General,Available
167,Pediatric Ward,158,ICU,Occupied
168,ICU,458,General,Available
169,General Ward,307,ICU,Occupied
170,Maternity Ward,388,ICU,Available
171,ICU,237,Semi-Private,Available
172,Pediatric Ward,268,ICU,Occupied
173,Pediatric Ward,343,Private,Occupied
174,ICU,111,Private,Available
175,General Ward,220,Semi-Private,Occupied
176,ICU,334,General,Occupied
177,Maternity Ward,353,ICU,Occupied
178,Pediatric Ward,345,ICU,Occupied
179,Emergency,414,ICU,Available
180,Maternity Ward,220,General,Available
181,General Ward,493,Private,Available
182,General Ward,441,Private,Available
183,Pediatric Ward,243,General,Occupied
184,Maternity Ward,398,General,Available
185,Maternity Ward,239,ICU,Available
186,Pediatric Ward,455,ICU,Available
187,Maternity Ward,338,General,Occupied
188,General Ward,317,ICU,Available
189,Emergency,109,ICU,Occupied
190,General Ward,385,Private,Occupied
191,General Ward,287,ICU,Occupied
192,General Ward,140,Private,Occupied
193,Pediatric Ward,367,Private,Occupied
194,Pediatric Ward,372,General,Available
195,General Ward,278,General,Occupied
196,ICU,196,General,Occupied
197,ICU,474,Private,Available
198,Pediatric Ward,230,ICU,Occupied
199,Maternity Ward,153,ICU,Occupied
200,General Ward,228,Private,Occupied
201,ICU,384,Semi-Private,Available
202,Emergency,388,Private,Occupied
203,Maternity Ward,437,General,Occupied
204,General Ward,171,Private,Available
205,Emergency,485,General,Available
206,Emergency,162,General,Available
207,ICU,268,Semi-Private,Occupied
208,ICU,482,Semi-Private,Occupied
209,Emergency,374,General,Available
210,Pediatric Ward,194,Private,Available
211,General Ward,252,Semi-Private,Occupied
212,General Ward,311,Private,Occupied
213,Emergency,289,Semi-Private,Occupied
214,Emergency,102,ICU,Occupied
215,ICU,324,General,Occupied
216,ICU,364,General,Occupied
217,Emergency,294,Private,Available
218,ICU,419,General,Available
219,ICU,379,General,Available
220,Maternity Ward,356,Semi-Private,Occupied
221,Emergency,331,Semi-Private,Available
222,Maternity Ward,206,ICU,Occupied
223,ICU,329,Semi-Private,Available
224,ICU,326,Semi-Private,Available
225,ICU,333,Semi-Private,Available
226,Emergency,459,Private,Occupied
227,ICU,269,ICU,Occupied
228,General Ward,388,Private,Occupied
229,Maternity Ward,104,ICU,Occupied
230,General Ward,472,Semi-Private,Available
231,Maternity Ward,383,General,Occupied
232,ICU,395,Private,Occupied
233,General Ward,326,Semi-Private,Occupied
234,Maternity Ward,199,Semi-Private,Available
235,ICU,424,ICU,Occupied
236,Emergency,412,Semi-Private,Occupied
237,ICU,484,Private,Available
238,Emergency,252,ICU,Available
239,Maternity Ward,324,General,Available
240,Pediatric Ward,325,Semi-Private,Occupied
241,ICU,499,Semi-Private,Occupied
242,ICU,258,Private,Available
243,Pediatric Ward,462,ICU,Available
244,Pediatric Ward,346,General,Occupied
245,Emergency,172,Private,Occupied
246,ICU,279,Private,Occupied
247,Emergency,304,ICU,Available
248,Emergency,125,ICU,Available
249,Maternity Ward,206,ICU,Occupied
250,General Ward,221,General,Available
251,Pediatric Ward,473,Semi-Private,Occupied
252,Maternity Ward,335,General,Available
253,Maternity Ward,462,Private,Occupied
254,Emergency,366,ICU,Occupied
255,Emergency,485,Private,Available
256,General Ward,500,Semi-Private,Occupied
257,Pediatric Ward,116,General,Available
258,ICU,329,Private,Available
259,Emergency,352,ICU,Available
260,General Ward,373,Semi-Private,Occupied
261,General Ward,200,General,Occupied
262,General Ward,307,ICU,Occupied
263,General Ward,276,Semi-Private,Occupied
264,ICU,147,Semi-Private,Occupied
265,Emergency,363,ICU,Occupied
266,Maternity Ward,161,Private,Occupied
267,Maternity Ward,131,General,Available
268,General Ward,134,General,Available
269,ICU,207,General,Occupied
270,Maternity Ward,216,Private,Occupied
271,ICU,154,Semi-Private,Available
272,ICU,376,Semi-Private,Available
273,Pediatric Ward,129,Private,Occupied
274,Pediatric Ward,484,Semi-Private,Available
275,ICU,343,General,Available
276,Maternity Ward,392,General,Occupied
277,Maternity Ward,371,Semi-Private,Occupied
278,Emergency,432,General,Occupied
279,Pediatric Ward,357,General,Occupied
280,Pediatric Ward,186,ICU,Occupied
281,ICU,398,Private,Occupied
282,Pediatric Ward,312,Semi-Private,Occupied
283,ICU,122,ICU,Available
284,Pediatric Ward,206,Private,Occupied
285,Maternity Ward,188,Private,Occupied
286,ICU,183,Semi-Private,Occupied
287,Emergency,361,Semi-Private,Occupied
288,ICU,267,Private,Occupied
289,Maternity Ward,304,Private,Occupied
290,Pediatric Ward,355,General,Occupied
291,Emergency,158,General,Available
292,Maternity Ward,229,Private,Available
293,General Ward,388,ICU,Occupied
294,General Ward,213,General,Available
295,Maternity Ward,446,Private,Occupied
296,ICU,490,Private,Available
297,Maternity Ward,463,ICU,Occupied
298,General Ward,228,Semi-Private,Occupied
299,Maternity Ward,261,ICU,Available
300,Maternity Ward,286,Private,Occupied
